년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
2018-01,서귀포시,예래동,슈퍼마켓,408,7575260,8508221.576,2020-12-15
2018-01,서귀포시,예래동,스포츠 및 레크레이션 용품 임대업,316,33318400,8508221.576,2020-12-15
2018-01,서귀포시,예래동,여관업,1463,357162302,8508221.576,2020-12-15
2018-01,서귀포시,예래동,욕탕업,162,7624500,8508221.576,2020-12-15
2018-01,서귀포시,예래동,육류 소매업,13,270000,8508221.576,2020-12-15
2018-01,서귀포시,예래동,일반유흥 주점업,435,25496000,8508221.576,2020-12-15
2018-01,서귀포시,예래동,일식 음식점업,125,15881000,8508221.576,2020-12-15
2018-01,서귀포시,예래동,전시 및 행사 대행업,2908,107999850,8508221.576,2020-12-15
2018-01,서귀포시,예래동,중식 음식점업,410,12577000,8508221.576,2020-12-15
2018-01,서귀포시,예래동,차량용 가스 충전업,146,22542350,8508221.576,2020-12-15
2018-01,서귀포시,예래동,차량용 주유소 운영업,5337,297867218,8508221.576,2020-12-15
2018-01,서귀포시,예래동,체인화 편의점,15434,183120620,8508221.576,2020-12-15
2018-01,서귀포시,예래동,"피자, 햄버거, 샌드위치 및 유사 음식점업",2734,36456250,8508221.576,2020-12-15
2018-01,서귀포시,예래동,한식 음식점업,11652,885521110,8508221.576,2020-12-15
2018-01,서귀포시,예래동,호텔업,5423,1765693775,8508221.576,2020-12-15
2018-01,서귀포시,예래동,화장품 및 방향제 소매업,47,1106820,8508221.576,2020-12-15
2018-01,서귀포시,예래동,휴양콘도 운영업,209,97571744,8508221.576,2020-12-15
2018-01,서귀포시,정방동,건강보조식품 소매업,97,14726690,5340965.659,2020-12-15
