읍면동명,업종명,연령대,1인당 이용금액
한경면,식음료,60_70,616705.8540925267
한림읍,식음료,60_70,652379.4149659864
해안동,식음료,60_70,604312.1353383459
호근동,식음료,60_70,499336.0718562874
화북이동,식음료,60_70,394324.91978609626
화북일동,식음료,60_70,396939.87138263666
회수동,식음료,60_70,544063.2768361582
강정동,숙박,10_20,478931.0
건입동,숙박,10_20,658029.7727272727
구좌읍,숙박,10_20,604969.5857142857
남원읍,숙박,10_20,498646.31284916203
내도동,숙박,10_20,275076.22222222225
노형동,숙박,10_20,1067925.1875
대정읍,숙박,10_20,429141.96078431373
대포동,숙박,10_20,536306.0285714286
도남동,숙박,10_20,295804.8780487805
도두이동,숙박,10_20,160544.32432432432
도두일동,숙박,10_20,271759.6
도순동,숙박,10_20,178000.0
동홍동,숙박,10_20,68666.66666666667
법환동,숙박,10_20,923082.5166666667
보목동,숙박,10_20,293923.5294117647
봉개동,숙박,10_20,147588.23529411765
삼도이동,숙박,10_20,1036149.9829059829
삼도일동,숙박,10_20,1058142.2596153845
삼양삼동,숙박,10_20,26666.666666666668
삼양이동,숙박,10_20,153141.51351351352
삼양일동,숙박,10_20,80200.0
상예동,숙박,10_20,339758.9166666667
상효동,숙박,10_20,199805.4054054054
색달동,숙박,10_20,890538.3956834532
서귀동,숙박,10_20,853160.1282051282
서호동,숙박,10_20,1487237.6511627906
서홍동,숙박,10_20,351683.48
성산읍,숙박,10_20,635205.3757225433
신효동,숙박,10_20,80000.0
아라이동,숙박,10_20,51890.375
아라일동,숙박,10_20,115021.45833333333
안덕면,숙박,10_20,1143806.2835051545
애월읍,숙박,10_20,756950.6666666666
연동,숙박,10_20,1111305.9324324324
영남동,숙박,10_20,199408.13333333333
오등동,숙박,10_20,620400.05
오라이동,숙박,10_20,51000.0
오라일동,숙박,10_20,334089.79591836734
외도이동,숙박,10_20,127254.2372881356
외도일동,숙박,10_20,730948.4603174604
용담삼동,숙박,10_20,629794.175
용담이동,숙박,10_20,563941.027027027
용담일동,숙박,10_20,243222.05479452055
우도면,숙박,10_20,177627.6595744681
이도이동,숙박,10_20,2085325.4210526317
이도일동,숙박,10_20,639130.1621621621
이호일동,숙박,10_20,228178.37837837837
일도이동,숙박,10_20,409430.55555555556
일도일동,숙박,10_20,439507.5223880597
조천읍,숙박,10_20,1169484.5321637427
중문동,숙박,10_20,972095.4444444445
추자면,숙박,10_20,199285.7142857143
토평동,숙박,10_20,348867.83116883115
표선면,숙박,10_20,640461.8102189781
하예동,숙박,10_20,489392.28125
하원동,숙박,10_20,230925.0
하효동,숙박,10_20,132500.0
한경면,숙박,10_20,158937.5945945946
한림읍,숙박,10_20,572709.8536585366
